celeb,height,weight,h,w,BMI,round(BMI)
Peter Fonda9.jpg,1.35 m,50 kg,1.35,50,27.43484225,27.43
Robert Downey Jr7.jpg,1.77 m,83 kg,1.77,83,26.49302563,26.49
Kylie Jenner15.jpg,1.68m,63kg,1.68,63,22.32142857,22.32
Liev Schreiber12.jpg,1.92m,84kg,1.92,84,22.78645833,22.79
Novak Djokovic14.jpg,1.88 m,77 kg,1.88,77,21.78587596,21.79
Perez Hilton17.jpg,1.68 m,58 kg,1.68,58,20.54988662,20.55
Lucy Liu17.jpg,1.60m,52kg,1.6,52,20.3125,20.31
Noah Mills16.jpg,1.88 m,80 kg,1.88,80,22.63467632,22.63
Marisa Tomei17.jpg,1.57 m,54 kg,1.57,54,21.90758246,21.91
Nigel Hawthorne9.jpg,1.80 m,68 kg,1.8,68,20.98765432,20.99
Randy Quaid14.jpg,1.83 m,73 kg,1.83,73,21.79820239,21.8
Lily Tomlin19.jpg,1.73m,63kg,1.73,63,21.0498179,21.05
Rachel Griffiths0.jpg,1.85 m,91 kg,1.85,91,26.58875091,26.59
Lesley Manville2.jpg,1.63m,60kg,1.63,60,22.58270917,22.58
Robert Downey Jr11.jpg,1.77 m,83 kg,1.77,83,26.49302563,26.49
Lauren Bacall5.jpg,1.73m,57kg,1.73,57,19.04507334,19.05
Luke Bryan8.jpg,1.85m,88kg,1.85,88,25.71219869,25.71
Ray Stevenson13.jpg,1.83 m,86 kg,1.83,86,25.68007405,25.68
Lady Gaga0.jpg,1.55m,53kg,1.55,53,22.0603538,22.06
Kourtney Kardashian8.jpg,1.52m,48kg,1.52,48,20.77562327,20.78
Patrick Wilson3.jpg,1.78 m,82 kg,1.78,82,25.88057064,25.88
Piper Laurie3.jpg,1.86 m,86 kg,1.86,86,24.85836513,24.86
Pauline Collins17.jpg,1.68 m,57 kg,1.68,57,20.19557823,20.2
Lake Bell18.jpg,1.73m,59kg,1.73,59,19.71332153,19.71
Paul Bettany10.jpg,1.57 m,49 kg,1.57,49,19.8791026,19.88
Paddy Considine17.jpg,1.79 m,73 kg,1.79,73,22.78330889,22.78
Paul Scofield5.jpg,1.78 m,77 kg,1.78,77,24.30248706,24.3
Patrick Stewart9.jpg,1.70 m,59 kg,1.7,59,20.41522491,20.42
Peter O Toole6.jpg,1.88 m,77 kg,1.88,77,21.78587596,21.79
Perez Hilton3.jpg,1.68 m,58 kg,1.68,58,20.54988662,20.55
Patrick Wilson7.jpg,1.78 m,82 kg,1.78,82,25.88057064,25.88
Liam Neeson7.jpg,1.93m,93kg,1.93,93,24.96711321,24.97
Patrick Wilson5.jpg,1.78 m,82 kg,1.78,82,25.88057064,25.88
Rachel McAdams13.jpg,1.78 m,66 kg,1.78,66,20.83070319,20.83
olivia holt13.jpg,1.73 m,78 kg,1.73,78,26.06167931,26.06
Ray Stevenson5.jpg,1.83 m,86 kg,1.83,86,25.68007405,25.68
Linda Fiorentino6.jpg,1.73m,57kg,1.73,57,19.04507334,19.05
Rob Gronkowski11.jpg,1.73 m,61 kg,1.73,61,20.38156971,20.38
Pam Grier12.jpg,1.78 m,80 kg,1.78,80,25.2493372,25.25
Paul Scofield14.jpg,1.78 m,77 kg,1.78,77,24.30248706,24.3
Nigel Hawthorne15.jpg,1.80 m,68 kg,1.8,68,20.98765432,20.99
Olympia Dukakis17.jpg,1.71 m,52 kg,1.71,52,17.78324955,17.78
Piper Laurie15.jpg,1.86 m,86 kg,1.86,86,24.85836513,24.86
Marlon Brando10.jpg,1.75 m,73 kg,1.75,73,23.83673469,23.84
Maggie Gyllenhaal15.jpg,1.73m,59kg,1.73,59,19.71332153,19.71
Mads Mikkelsen4.jpg,1.83m,82kg,1.83,82,24.48565201,24.49
Mandy Moore3.jpg,1.76m,59kg,1.76,59,19.04700413,19.05
Rashida Jones11.jpg,1.68 m,64 kg,1.68,64,22.67573696,22.68
Olivia Newton-John0.jpg,1.57 m,52 kg,1.57,52,21.09619051,21.1
Lake Bell4.jpg,1.73m,59kg,1.73,59,19.71332153,19.71
Marlon Brando7.jpg,1.75 m,73 kg,1.75,73,23.83673469,23.84
Peter Dinklage5.jpg,1.77 m,73 kg,1.77,73,23.30109483,23.3
Paula Patton18.jpg,1.88 m,77 kg,1.88,77,21.78587596,21.79
Kyle Richards8.jpg,1.65m,55kg,1.65,55,20.2020202,20.2
Marlon Brando2.jpg,1.75 m,73 kg,1.75,73,23.83673469,23.84
Kim Basinger10.jpg,1.71m,54kg,1.71,54,18.46722068,18.47
Randy Quaid19.jpg,1.83 m,73 kg,1.83,73,21.79820239,21.8
Oprah Winfrey13.jpg,1.63 m,58 kg,1.63,58,21.8299522,21.83
Rashida Jones0.jpg,1.68 m,64 kg,1.68,64,22.67573696,22.68
Marion Cotillard18.jpg,1.69 m,57 kg,1.69,57,19.95728441,19.96
Klaus Kinski12.jpg,1.65m,61kg,1.65,61,22.40587695,22.41
Paula Patton19.jpg,1.88 m,77 kg,1.88,77,21.78587596,21.79
Maggie Grace4.jpg,1.75m,56kg,1.75,56,18.28571429,18.29
Queen Latifah19.jpg,1.68 m,57 kg,1.68,57,20.19557823,20.2
Ray Stevenson12.jpg,1.83 m,86 kg,1.83,86,25.68007405,25.68
Patricia Arquette17.jpg,1.65 m,54 kg,1.65,54,19.83471074,19.83
Niecy Nash4.jpg,1.73 m,86 kg,1.73,86,28.73467206,28.73
Oprah Winfrey11.jpg,1.63 m,58 kg,1.63,58,21.8299522,21.83
Perez Hilton19.jpg,1.68 m,58 kg,1.68,58,20.54988662,20.55
Noomi Rapace18.jpg,1.57 m,51 kg,1.57,51,20.69049454,20.69
Lindsay Lohan6.jpg,1.65m,52kg,1.65,52,19.10009183,19.1
Lionel Messi10.jpg,1.70m,72kg,1.7,72,24.91349481,24.91
Lynn Redgrave11.jpg,1.78m,73kg,1.78,73,23.0400202,23.04
Louise Fletcher13.jpg,1.70m,61kg,1.7,61,21.10726644,21.11
Niecy Nash7.jpg,1.73 m,86 kg,1.73,86,28.73467206,28.73
Kristen Wiig6.jpg,1.65m,57kg,1.65,57,20.93663912,20.94
Maika Dillon Monroe12.jpg,1.73m,54kg,1.73,54,18.04270106,18.04
Ray Liotta2.jpg,1.63 m,56 kg,1.63,56,21.07719523,21.08
Liam Neeson3.jpg,1.93m,93kg,1.93,93,24.96711321,24.97
Rebecca Romijn18.jpg,1.78 m,56 kg,1.78,56,17.67453604,17.67
R. Kelly3.jpg,1.78 m,91 kg,1.78,91,28.72112107,28.72
Paul Walker19.jpg,1.78 m,75 kg,1.78,75,23.67125363,23.67
Louis C.K6.jpg,1.83m,90kg,1.83,90,26.8744961,26.87
Lena Headey13.jpg,1.66m,54kg,1.66,54,19.59645812,19.6
Maggie Gyllenhaal8.jpg,1.73m,59kg,1.73,59,19.71332153,19.71
Paddy Considine8.jpg,1.79 m,73 kg,1.79,73,22.78330889,22.78
Paul Bettany18.jpg,1.57 m,49 kg,1.57,49,19.8791026,19.88
Kourtney Kardashian4.jpg,1.52m,48kg,1.52,48,20.77562327,20.78
Rachel McAdams12.jpg,1.78 m,66 kg,1.78,66,20.83070319,20.83
Paul Walker8.jpg,1.78 m,75 kg,1.78,75,23.67125363,23.67
Robert Redford10.jpg,1.85 m,78 kg,1.85,78,22.79035793,22.79
Octavia Spencer8.jpg,1.57 m,82 kg,1.57,82,33.26706966,33.27
Raquel Welch3.jpg,1.93 m,100 kg,1.93,100,26.84635829,26.85
Richard Dreyfuss13.jpg,1.78 m,82 kg,1.78,82,25.88057064,25.88
Lena Headey7.jpg,1.66m,54kg,1.66,54,19.59645812,19.6
Leonardo DiCaprio2.jpg,1.83m,75kg,1.83,75,22.39541342,22.4
Paul Bettany4.jpg,1.57 m,49 kg,1.57,49,19.8791026,19.88
Kyle Richards5.jpg,1.65m,55kg,1.65,55,20.2020202,20.2
Kylie Jenner7.jpg,1.68m,63kg,1.68,63,22.32142857,22.32
Mark Hamill10.jpg,1.75 m,70 kg,1.75,70,22.85714286,22.86
Paris Hilton16.jpg,1.73 m,63 kg,1.73,63,21.0498179,21.05
Kirsten Dunst15.jpg,1.68m,54kg,1.68,54,19.13265306,19.13
Rinko Kikuchi4.jpg,1.73 m,60 kg,1.73,60,20.04744562,20.05
Maria Menounos14.jpg,1.73 m,61 kg,1.73,61,20.38156971,20.38
Kevin Durant10.jpg,2.06m,109kg,2.06,109,25.68573852,25.69
Maggie Grace18.jpg,1.75m,56kg,1.75,56,18.28571429,18.29
Lucy Liu11.jpg,1.60m,52kg,1.6,52,20.3125,20.31
Rebecca Hall19.jpg,1.75 m,102 kg,1.75,102,33.30612245,33.31
Louise Fletcher16.jpg,1.70m,61kg,1.7,61,21.10726644,21.11
Lindsay Lohan1.jpg,1.65m,52kg,1.65,52,19.10009183,19.1
Liv Tyler15.jpg,1.78m,61kg,1.78,61,19.25261962,19.25
Nigel Hawthorne18.jpg,1.80 m,68 kg,1.8,68,20.98765432,20.99
Lance Henriksen13.jpg,1.80m,75kg,1.8,75,23.14814815,23.15
olivia holt17.jpg,1.73 m,78 kg,1.73,78,26.06167931,26.06
Rinko Kikuchi10.jpg,1.73 m,60 kg,1.73,60,20.04744562,20.05
Peter Sarsgaard11.jpg,1.88 m,82 kg,1.88,82,23.20054323,23.2
Lee Marvin5.jpg,1.88m,86kg,1.88,86,24.33227705,24.33
Kristen Stewart8.jpg,1.65m,54kg,1.65,54,19.83471074,19.83
Olivia Thirlby16.jpg,1.63 m,58 kg,1.63,58,21.8299522,21.83
Paul Dano6.jpg,1.90 m,84 kg,1.9,84,23.26869806,23.27
Maria Bello4.jpg,1.65 m,59 kg,1.65,59,21.67125803,21.67
Robert Shaw17.jpg,1.79 m,70 kg,1.79,70,21.84700852,21.85
Nicole Polizzi4.jpg,1.42 m,49 kg,1.42,49,24.30073398,24.3
Robert Redford15.jpg,1.85 m,78 kg,1.85,78,22.79035793,22.79
Lee Grant15.jpg,1.63m,55kg,1.63,55,20.70081674,20.7
Lesley Manville3.jpg,1.63m,60kg,1.63,60,22.58270917,22.58
Marlee Matlin15.jpg,1.65 m,54 kg,1.65,54,19.83471074,19.83
Mark Strong2.jpg,1.85 m,85 kg,1.85,85,24.83564646,24.84
Linda Hunt2.jpg,1.45m,40kg,1.45,40,19.02497027,19.02
Robert Mitchum7.jpg,1.73 m,75 kg,1.73,75,25.05930703,25.06
Rita Hayworth15.jpg,1.69 m,50 kg,1.69,50,17.50638983,17.51
Paul Bettany1.jpg,1.57 m,49 kg,1.57,49,19.8791026,19.88
Kristin Scott Thomas12.jpg,1.73m,56kg,1.73,56,18.71094925,18.71
Pixie Lott9.jpg,1.66 m,54 kg,1.66,54,19.59645812,19.6
Lady Gaga2.jpg,1.55m,53kg,1.55,53,22.0603538,22.06
Marion Cotillard15.jpg,1.69 m,57 kg,1.69,57,19.95728441,19.96
Richard Dreyfuss19.jpg,1.78 m,82 kg,1.78,82,25.88057064,25.88
Lance Henriksen3.jpg,1.80m,75kg,1.8,75,23.14814815,23.15
Linda Hunt15.jpg,1.45m,40kg,1.45,40,19.02497027,19.02
Octavia Spencer14.jpg,1.57 m,82 kg,1.57,82,33.26706966,33.27
River Phoenix8.jpg,1.63 m,54 kg,1.63,54,20.32443826,20.32
Laura Linney13.jpg,1.70m,56kg,1.7,56,19.37716263,19.38
Leslie Mann8.jpg,1.69m,56kg,1.69,56,19.60715661,19.61
Oscar Isaac9.jpg,1.78 m,75 kg,1.78,75,23.67125363,23.67
Paddy Considine13.jpg,1.79 m,73 kg,1.79,73,22.78330889,22.78
Olivia Newton-John15.jpg,1.57 m,52 kg,1.57,52,21.09619051,21.1
Kim Basinger2.jpg,1.71m,54kg,1.71,54,18.46722068,18.47
Kevin Durant17.jpg,2.06m,109kg,2.06,109,25.68573852,25.69
Olga Kurylenko16.jpg,1.70 m,54 kg,1.7,54,18.68512111,18.69
Lindsey Vonn8.jpg,1.78m,73kg,1.78,73,23.0400202,23.04
Reese Witherspoon16.jpg,1.70 m,73 kg,1.7,73,25.25951557,25.26
Patricia Arquette12.jpg,1.65 m,54 kg,1.65,54,19.83471074,19.83
Rachel Griffiths9.jpg,1.85 m,91 kg,1.85,91,26.58875091,26.59
Mark Wahlberg19.jpg,1.73 m,78 kg,1.73,78,26.06167931,26.06
Paul Dano13.jpg,1.90 m,84 kg,1.9,84,23.26869806,23.27
Paul Scofield13.jpg,1.78 m,77 kg,1.78,77,24.30248706,24.3
Robin Williams3.jpg,1.70 m,59 kg,1.7,59,20.41522491,20.42
Maria Menounos1.jpg,1.73 m,61 kg,1.73,61,20.38156971,20.38
Peter Dinklage0.jpg,1.77 m,73 kg,1.77,73,23.30109483,23.3
Mark Rylance3.jpg,1.82 m,80 kg,1.82,80,24.1516725,24.15
Maria Menounos11.jpg,1.73 m,61 kg,1.73,61,20.38156971,20.38
Rebecca Hall15.jpg,1.75 m,102 kg,1.75,102,33.30612245,33.31
Lily Aldridge12.jpg,1.75m,54kg,1.75,54,17.63265306,17.63
Marisa Tomei3.jpg,1.57 m,54 kg,1.57,54,21.90758246,21.91
Lily Tomlin17.jpg,1.73m,63kg,1.73,63,21.0498179,21.05
Patricia Arquette5.jpg,1.65 m,54 kg,1.65,54,19.83471074,19.83
Kyle Richards9.jpg,1.65m,55kg,1.65,55,20.2020202,20.2
Lenny Kravitz0.jpg,1.75m,70kg,1.75,70,22.85714286,22.86
Paul Newman9.jpg,1.80 m,73 kg,1.8,73,22.5308642,22.53
Maggie Gyllenhaal0.jpg,1.73m,59kg,1.73,59,19.71332153,19.71
Rebel Wilson13.jpg,1.80 m,59 kg,1.8,59,18.20987654,18.21
Lucy Liu14.jpg,1.60m,52kg,1.6,52,20.3125,20.31
Richard Gere10.jpg,1.83 m,91 kg,1.83,91,27.17310162,27.17
Rachel McAdams4.jpg,1.78 m,66 kg,1.78,66,20.83070319,20.83
Louis Gossett Jr13.jpg,1.88m,90kg,1.88,90,25.46401086,25.46
Kim Hunter10.jpg,1.57m,48kg,1.57,48,19.47340663,19.47
Linda Fiorentino15.jpg,1.73m,57kg,1.73,57,19.04507334,19.05
Ludacris13.jpg,1.73m,76kg,1.73,76,25.39343112,25.39
Patricia Clarkson6.jpg,1.60 m,58 kg,1.6,58,22.65625,22.66
Lance Henriksen18.jpg,1.80m,75kg,1.8,75,23.14814815,23.15
Paul Scofield12.jpg,1.78 m,77 kg,1.78,77,24.30248706,24.3
Rachel McAdams7.jpg,1.78 m,66 kg,1.78,66,20.83070319,20.83
Ray Winstone6.jpg,1.93 m,102 kg,1.93,102,27.38328546,27.38
Peter Sellers10.jpg,1.80 m,71 kg,1.8,71,21.91358025,21.91
Mario Lopez12.jpg,1.78 m,79 kg,1.78,79,24.93372049,24.93
Lena Headey0.jpg,1.66m,54kg,1.66,54,19.59645812,19.6
Lance Henriksen10.jpg,1.80m,75kg,1.8,75,23.14814815,23.15
Raquel Welch15.jpg,1.93 m,100 kg,1.93,100,26.84635829,26.85
Peter Sarsgaard18.jpg,1.88 m,82 kg,1.88,82,23.20054323,23.2
Peter Sarsgaard17.jpg,1.88 m,82 kg,1.88,82,23.20054323,23.2
Rebecca Hall14.jpg,1.75 m,102 kg,1.75,102,33.30612245,33.31
Lily Aldridge7.jpg,1.75m,54kg,1.75,54,17.63265306,17.63
Richard Farnsworth15.jpg,1.85 m,78 kg,1.85,78,22.79035793,22.79
Kevin Durant5.jpg,2.06m,109kg,2.06,109,25.68573852,25.69
Lenny Kravitz11.jpg,1.75m,70kg,1.75,70,22.85714286,22.86
Mark Rylance18.jpg,1.82 m,80 kg,1.82,80,24.1516725,24.15
Kevin Costner13.jpg,1.85m,88kg,1.85,88,25.71219869,25.71
Lindsay Lohan9.jpg,1.65m,52kg,1.65,52,19.10009183,19.1
Lee Marvin15.jpg,1.88m,86kg,1.88,86,24.33227705,24.33
Robert Pattinson16.jpg,1.83 m,86 kg,1.83,86,25.68007405,25.68
Oscar Isaac17.jpg,1.78 m,75 kg,1.78,75,23.67125363,23.67
Rachel Weisz15.jpg,1.73 m,58 kg,1.73,58,19.37919743,19.38
Kurt Russell5.jpg,1.79m,83kg,1.79,83,25.9043101,25.9
Paris Jackson10.jpg,1.68 m,55 kg,1.68,55,19.48696145,19.49
Paul Bettany14.jpg,1.57 m,49 kg,1.57,49,19.8791026,19.88
Lauren Bacall18.jpg,1.73m,57kg,1.73,57,19.04507334,19.05
Octavia Spencer11.jpg,1.57 m,82 kg,1.57,82,33.26706966,33.27
Kim Novak17.jpg,1.68m,55kg,1.68,55,19.48696145,19.49
Paul Scofield16.jpg,1.78 m,77 kg,1.78,77,24.30248706,24.3
Rihanna6.jpg,1.83 m,86 kg,1.83,86,25.68007405,25.68
Robert De Niro19.jpg,1.98 m,120 kg,1.98,120,30.60912152,30.61
Kim Basinger15.jpg,1.71m,54kg,1.71,54,18.46722068,18.47
Marcello Mastroianni10.jpg,1.80 m,70 kg,1.8,70,21.60493827,21.6
Lupita Nyong o14.jpg,1.65m,51kg,1.65,51,18.73278237,18.73
Paul Scofield19.jpg,1.78 m,77 kg,1.78,77,24.30248706,24.3
Richard Gere0.jpg,1.83 m,91 kg,1.83,91,27.17310162,27.17
Nigel Hawthorne11.jpg,1.80 m,68 kg,1.8,68,20.98765432,20.99
Lindsay Lohan14.jpg,1.65m,52kg,1.65,52,19.10009183,19.1
Richard Harris2.jpg,1.80 m,73 kg,1.8,73,22.5308642,22.53
Olympia Dukakis3.jpg,1.71 m,52 kg,1.71,52,17.78324955,17.78
Rita Hayworth1.jpg,1.69 m,50 kg,1.69,50,17.50638983,17.51
Patricia Arquette2.jpg,1.65 m,54 kg,1.65,54,19.83471074,19.83
Maria Bello9.jpg,1.65 m,59 kg,1.65,59,21.67125803,21.67
Lake Bell3.jpg,1.73m,59kg,1.73,59,19.71332153,19.71
Octavia Spencer16.jpg,1.57 m,82 kg,1.57,82,33.26706966,33.27
Olivia Thirlby13.jpg,1.63 m,58 kg,1.63,58,21.8299522,21.83
Noomi Rapace19.jpg,1.57 m,51 kg,1.57,51,20.69049454,20.69
Robert De Niro14.jpg,1.98 m,120 kg,1.98,120,30.60912152,30.61
Kristen Stewart15.jpg,1.65m,54kg,1.65,54,19.83471074,19.83
Kevin Kiley Jr16.jpg,1.93m,122kg,1.93,122,32.75255712,32.75
Kevin Bacon15.jpg,1.78m,80kg,1.78,80,25.2493372,25.25
Louise Fletcher14.jpg,1.70m,61kg,1.7,61,21.10726644,21.11
Maika Dillon Monroe15.jpg,1.73m,54kg,1.73,54,18.04270106,18.04
Peter Ustinov5.jpg,1.75 m,68 kg,1.75,68,22.20408163,22.2
Paris Hilton1.jpg,1.73 m,63 kg,1.73,63,21.0498179,21.05
Lisa Kudrow1.jpg,1.73m,61kg,1.73,61,20.38156971,20.38
Lily Tomlin16.jpg,1.73m,63kg,1.73,63,21.0498179,21.05
Pam Grier19.jpg,1.78 m,80 kg,1.78,80,25.2493372,25.25
Leonardo DiCaprio12.jpg,1.83m,75kg,1.83,75,22.39541342,22.4
Linda Fiorentino9.jpg,1.73m,57kg,1.73,57,19.04507334,19.05
Rita Hayworth16.jpg,1.69 m,50 kg,1.69,50,17.50638983,17.51
Patricia Neal5.jpg,1.68 m,57 kg,1.68,57,20.19557823,20.2
Lindsey Vonn1.jpg,1.78m,73kg,1.78,73,23.0400202,23.04
Peter Sarsgaard16.jpg,1.88 m,82 kg,1.88,82,23.20054323,23.2
Patrick Swayze15.jpg,1.79 m,72 kg,1.79,72,22.47120876,22.47
Kim Novak15.jpg,1.68m,55kg,1.68,55,19.48696145,19.49
Leslie Mann2.jpg,1.69m,56kg,1.69,56,19.60715661,19.61
Richard Farnsworth17.jpg,1.85 m,78 kg,1.85,78,22.79035793,22.79
Luke Bryan4.jpg,1.85m,88kg,1.85,88,25.71219869,25.71
Penelope Cruz18.jpg,1.63 m,59 kg,1.63,59,22.20633069,22.21
Kevin James19.jpg,1.72m,113kg,1.72,113,38.19632234,38.2
Paul McCartney19.jpg,1.72 m,86 kg,1.72,86,29.06976744,29.07
Kevin Durant0.jpg,2.06m,109kg,2.06,109,25.68573852,25.69
Noomi Rapace4.jpg,1.57 m,51 kg,1.57,51,20.69049454,20.69
Richard Dreyfuss4.jpg,1.78 m,82 kg,1.78,82,25.88057064,25.88
Lynn Redgrave9.jpg,1.78m,73kg,1.78,73,23.0400202,23.04
Ray Winstone3.jpg,1.93 m,102 kg,1.93,102,27.38328546,27.38
Lily Donaldson5.jpg,1.78m,55kg,1.78,55,17.35891933,17.36
Mads Mikkelsen13.jpg,1.83m,82kg,1.83,82,24.48565201,24.49
Noah Mills2.jpg,1.88 m,80 kg,1.88,80,22.63467632,22.63
Nigel Hawthorne10.jpg,1.80 m,68 kg,1.8,68,20.98765432,20.99
Kevin Kline7.jpg,1.85m,77kg,1.85,77,22.49817385,22.5
Rashida Jones8.jpg,1.68 m,64 kg,1.68,64,22.67573696,22.68
Kurt Russell12.jpg,1.79m,83kg,1.79,83,25.9043101,25.9
Maika Dillon Monroe0.jpg,1.73m,54kg,1.73,54,18.04270106,18.04
LeBron Jamet17.jpg,2.06m,113kg,2.06,113,26.62833443,26.63
Liev Schreiber11.jpg,1.92m,84kg,1.92,84,22.78645833,22.79
Paul Bettany12.jpg,1.57 m,49 kg,1.57,49,19.8791026,19.88
Olivia Thirlby9.jpg,1.63 m,58 kg,1.63,58,21.8299522,21.83
Kiefer Sutherland0.jpg,1.75m,75kg,1.75,75,24.48979592,24.49
Lauren Bacall16.jpg,1.73m,57kg,1.73,57,19.04507334,19.05
R. Kelly5.jpg,1.78 m,91 kg,1.78,91,28.72112107,28.72
Kevin Durant15.jpg,2.06m,109kg,2.06,109,25.68573852,25.69
Ralph Fiennes6.jpg,1.68 m,57 kg,1.68,57,20.19557823,20.2
Pauline Collins19.jpg,1.68 m,57 kg,1.68,57,20.19557823,20.2
Kim Novak5.jpg,1.68m,55kg,1.68,55,19.48696145,19.49
Louis C.K19.jpg,1.83m,90kg,1.83,90,26.8744961,26.87
Kylie Jenner17.jpg,1.68m,63kg,1.68,63,22.32142857,22.32
Maggie Grace12.jpg,1.75m,56kg,1.75,56,18.28571429,18.29
Lionel Messi9.jpg,1.70m,72kg,1.7,72,24.91349481,24.91
Patrick Wilson14.jpg,1.78 m,82 kg,1.78,82,25.88057064,25.88
Patricia Neal10.jpg,1.68 m,57 kg,1.68,57,20.19557823,20.2
Patty Duke16.jpg,1.85 m,82 kg,1.85,82,23.95909423,23.96
Marisa Tomei1.jpg,1.57 m,54 kg,1.57,54,21.90758246,21.91
Lindsey Vonn16.jpg,1.78m,73kg,1.78,73,23.0400202,23.04
Logan Lerman7.jpg,1.75m,68kg,1.75,68,22.20408163,22.2
Olivia Newton-John1.jpg,1.57 m,52 kg,1.57,52,21.09619051,21.1
Noah Mills19.jpg,1.88 m,80 kg,1.88,80,22.63467632,22.63
Owen Wilson17.jpg,1.75 m,75 kg,1.75,75,24.48979592,24.49
Lindsay Lohan7.jpg,1.65m,52kg,1.65,52,19.10009183,19.1
Nicole Polizzi19.jpg,1.42 m,49 kg,1.42,49,24.30073398,24.3
Laura Linney11.jpg,1.70m,56kg,1.7,56,19.37716263,19.38
Mariah Carey10.jpg,1.70 m,66 kg,1.7,66,22.83737024,22.84
Lena Dunham9.jpg,1.60m,63kg,1.6,63,24.609375,24.61
Linda Hamilton17.jpg,1.68m,59kg,1.68,59,20.90419501,20.9
Mark Wahlberg4.jpg,1.73 m,78 kg,1.73,78,26.06167931,26.06
Piper Perabo6.jpg,1.65 m,59 kg,1.65,59,21.67125803,21.67
Patricia Neal14.jpg,1.68 m,57 kg,1.68,57,20.19557823,20.2
Maria Menounos19.jpg,1.73 m,61 kg,1.73,61,20.38156971,20.38
Olivia Newton-John12.jpg,1.57 m,52 kg,1.57,52,21.09619051,21.1
R. Kelly18.jpg,1.78 m,91 kg,1.78,91,28.72112107,28.72
Kirsten Dunst1.jpg,1.68m,54kg,1.68,54,19.13265306,19.13
Klaus Kinski16.jpg,1.65m,61kg,1.65,61,22.40587695,22.41
Reese Witherspoon19.jpg,1.70 m,73 kg,1.7,73,25.25951557,25.26
Lara Stone8.jpg,1.78m,63kg,1.78,63,19.88385305,19.88
Pixie Lott6.jpg,1.66 m,54 kg,1.66,54,19.59645812,19.6
Margot Robbie13.jpg,1.68 m,57 kg,1.68,57,20.19557823,20.2
Perez Hilton14.jpg,1.68 m,58 kg,1.68,58,20.54988662,20.55
Red Buttons12.jpg,1.60 m,95 kg,1.6,95,37.109375,37.11
LeBron Jamet13.jpg,2.06m,113kg,2.06,113,26.62833443,26.63
Patricia Neal15.jpg,1.68 m,57 kg,1.68,57,20.19557823,20.2
Maria Menounos10.jpg,1.73 m,61 kg,1.73,61,20.38156971,20.38
Rachel Griffiths11.jpg,1.85 m,91 kg,1.85,91,26.58875091,26.59
Kevin Kiley Jr19.jpg,1.93m,122kg,1.93,122,32.75255712,32.75
Linda Fiorentino0.jpg,1.73m,57kg,1.73,57,19.04507334,19.05
Kevin Durant16.jpg,2.06m,109kg,2.06,109,25.68573852,25.69
Ray Liotta4.jpg,1.63 m,56 kg,1.63,56,21.07719523,21.08
Mads Mikkelsen14.jpg,1.83m,82kg,1.83,82,24.48565201,24.49
Lily Donaldson0.jpg,1.78m,55kg,1.78,55,17.35891933,17.36
Lenny Kravitz16.jpg,1.75m,70kg,1.75,70,22.85714286,22.86
Rihanna3.jpg,1.83 m,86 kg,1.83,86,25.68007405,25.68
Olivia Wilde3.jpg,1.63 m,52 kg,1.63,52,19.57168128,19.57
Lynn Redgrave15.jpg,1.78m,73kg,1.78,73,23.0400202,23.04
Nicole Polizzi11.jpg,1.42 m,49 kg,1.42,49,24.30073398,24.3
Kristen Wiig7.jpg,1.65m,57kg,1.65,57,20.93663912,20.94
