celeb,height,weight,h,w,BMI,round(BMI)
Kevin Kiley Jr9.jpg,1.93m,122kg,1.93,122,32.75255712,32.75
Kevin Kline0.jpg,1.85m,77kg,1.85,77,22.49817385,22.5
Kevin Kline1.jpg,1.85m,77kg,1.85,77,22.49817385,22.5
Kevin Kline10.jpg,1.85m,77kg,1.85,77,22.49817385,22.5
Kevin Kline11.jpg,1.85m,77kg,1.85,77,22.49817385,22.5
Kevin Kline12.jpg,1.85m,77kg,1.85,77,22.49817385,22.5
Kevin Kline13.jpg,1.85m,77kg,1.85,77,22.49817385,22.5
Kevin Kline14.jpg,1.85m,77kg,1.85,77,22.49817385,22.5
Kevin Kline15.jpg,1.85m,77kg,1.85,77,22.49817385,22.5
Kevin Kline16.jpg,1.85m,77kg,1.85,77,22.49817385,22.5
Kevin Kline17.jpg,1.85m,77kg,1.85,77,22.49817385,22.5
Kevin Kline18.jpg,1.85m,77kg,1.85,77,22.49817385,22.5
Kevin Kline19.jpg,1.85m,77kg,1.85,77,22.49817385,22.5
Kevin Kline2.jpg,1.85m,77kg,1.85,77,22.49817385,22.5
Kevin Kline3.jpg,1.85m,77kg,1.85,77,22.49817385,22.5
Kevin Kline4.jpg,1.85m,77kg,1.85,77,22.49817385,22.5
Kevin Kline5.jpg,1.85m,77kg,1.85,77,22.49817385,22.5
Kevin Kline6.jpg,1.85m,77kg,1.85,77,22.49817385,22.5
Kevin Kline7.jpg,1.85m,77kg,1.85,77,22.49817385,22.5
Kevin Kline8.jpg,1.85m,77kg,1.85,77,22.49817385,22.5
Kevin Kline9.jpg,1.85m,77kg,1.85,77,22.49817385,22.5
Kevin Spacey0.jpg,1.78m,72kg,1.78,72,22.72440348,22.72
Kevin Spacey1.jpg,1.78m,72kg,1.78,72,22.72440348,22.72
Kevin Spacey10.jpg,1.78m,72kg,1.78,72,22.72440348,22.72
Kevin Spacey11.jpg,1.78m,72kg,1.78,72,22.72440348,22.72
Kevin Spacey12.jpg,1.78m,72kg,1.78,72,22.72440348,22.72
Kevin Spacey13.jpg,1.78m,72kg,1.78,72,22.72440348,22.72
Kevin Spacey14.jpg,1.78m,72kg,1.78,72,22.72440348,22.72
Kevin Spacey15.jpg,1.78m,72kg,1.78,72,22.72440348,22.72
Kevin Spacey16.jpg,1.78m,72kg,1.78,72,22.72440348,22.72
Kevin Spacey17.jpg,1.78m,72kg,1.78,72,22.72440348,22.72
Kevin Spacey18.jpg,1.78m,72kg,1.78,72,22.72440348,22.72
Kevin Spacey19.jpg,1.78m,72kg,1.78,72,22.72440348,22.72
Kevin Spacey2.jpg,1.78m,72kg,1.78,72,22.72440348,22.72
Kevin Spacey3.jpg,1.78m,72kg,1.78,72,22.72440348,22.72
Kevin Spacey4.jpg,1.78m,72kg,1.78,72,22.72440348,22.72
Kevin Spacey5.jpg,1.78m,72kg,1.78,72,22.72440348,22.72
Kevin Spacey6.jpg,1.78m,72kg,1.78,72,22.72440348,22.72
Kevin Spacey7.jpg,1.78m,72kg,1.78,72,22.72440348,22.72
Kevin Spacey8.jpg,1.78m,72kg,1.78,72,22.72440348,22.72
Kevin Spacey9.jpg,1.78m,72kg,1.78,72,22.72440348,22.72
Khloe Kardashian0.jpg,1.77m,76kg,1.77,76,24.25867407,24.26
Khloe Kardashian1.jpg,1.77m,76kg,1.77,76,24.25867407,24.26
Khloe Kardashian10.jpg,1.77m,76kg,1.77,76,24.25867407,24.26
Khloe Kardashian11.jpg,1.77m,76kg,1.77,76,24.25867407,24.26
Khloe Kardashian12.jpg,1.77m,76kg,1.77,76,24.25867407,24.26
Khloe Kardashian13.jpg,1.77m,76kg,1.77,76,24.25867407,24.26
Khloe Kardashian14.jpg,1.77m,76kg,1.77,76,24.25867407,24.26
Khloe Kardashian15.jpg,1.77m,76kg,1.77,76,24.25867407,24.26
Khloe Kardashian16.jpg,1.77m,76kg,1.77,76,24.25867407,24.26
Khloe Kardashian17.jpg,1.77m,76kg,1.77,76,24.25867407,24.26
Khloe Kardashian18.jpg,1.77m,76kg,1.77,76,24.25867407,24.26
Khloe Kardashian19.jpg,1.77m,76kg,1.77,76,24.25867407,24.26
Khloe Kardashian2.jpg,1.77m,76kg,1.77,76,24.25867407,24.26
Khloe Kardashian3.jpg,1.77m,76kg,1.77,76,24.25867407,24.26
Khloe Kardashian4.jpg,1.77m,76kg,1.77,76,24.25867407,24.26
Khloe Kardashian5.jpg,1.77m,76kg,1.77,76,24.25867407,24.26
Khloe Kardashian6.jpg,1.77m,76kg,1.77,76,24.25867407,24.26
Khloe Kardashian7.jpg,1.77m,76kg,1.77,76,24.25867407,24.26
Khloe Kardashian8.jpg,1.77m,76kg,1.77,76,24.25867407,24.26
Khloe Kardashian9.jpg,1.77m,76kg,1.77,76,24.25867407,24.26
Kiefer Sutherland0.jpg,1.75m,75kg,1.75,75,24.48979592,24.49
Kiefer Sutherland1.jpg,1.75m,75kg,1.75,75,24.48979592,24.49
Kiefer Sutherland10.jpg,1.75m,75kg,1.75,75,24.48979592,24.49
Kiefer Sutherland11.jpg,1.75m,75kg,1.75,75,24.48979592,24.49
Kiefer Sutherland12.jpg,1.75m,75kg,1.75,75,24.48979592,24.49
Kiefer Sutherland13.jpg,1.75m,75kg,1.75,75,24.48979592,24.49
Kiefer Sutherland14.jpg,1.75m,75kg,1.75,75,24.48979592,24.49
Kiefer Sutherland15.jpg,1.75m,75kg,1.75,75,24.48979592,24.49
Kiefer Sutherland16.jpg,1.75m,75kg,1.75,75,24.48979592,24.49
Kiefer Sutherland17.jpg,1.75m,75kg,1.75,75,24.48979592,24.49
Kiefer Sutherland18.jpg,1.75m,75kg,1.75,75,24.48979592,24.49
Kiefer Sutherland19.jpg,1.75m,75kg,1.75,75,24.48979592,24.49
Kiefer Sutherland2.jpg,1.75m,75kg,1.75,75,24.48979592,24.49
Kiefer Sutherland3.jpg,1.75m,75kg,1.75,75,24.48979592,24.49
Kiefer Sutherland4.jpg,1.75m,75kg,1.75,75,24.48979592,24.49
Kiefer Sutherland5.jpg,1.75m,75kg,1.75,75,24.48979592,24.49
Kiefer Sutherland6.jpg,1.75m,75kg,1.75,75,24.48979592,24.49
Kiefer Sutherland7.jpg,1.75m,75kg,1.75,75,24.48979592,24.49
Kiefer Sutherland8.jpg,1.75m,75kg,1.75,75,24.48979592,24.49
Kiefer Sutherland9.jpg,1.75m,75kg,1.75,75,24.48979592,24.49
Kim Basinger0.jpg,1.71m,54kg,1.71,54,18.46722068,18.47
Kim Basinger1.jpg,1.71m,54kg,1.71,54,18.46722068,18.47
Kim Basinger10.jpg,1.71m,54kg,1.71,54,18.46722068,18.47
Kim Basinger11.jpg,1.71m,54kg,1.71,54,18.46722068,18.47
Kim Basinger12.jpg,1.71m,54kg,1.71,54,18.46722068,18.47
Kim Basinger13.jpg,1.71m,54kg,1.71,54,18.46722068,18.47
Kim Basinger14.jpg,1.71m,54kg,1.71,54,18.46722068,18.47
Kim Basinger15.jpg,1.71m,54kg,1.71,54,18.46722068,18.47
Kim Basinger16.jpg,1.71m,54kg,1.71,54,18.46722068,18.47
Kim Basinger17.jpg,1.71m,54kg,1.71,54,18.46722068,18.47
Kim Basinger18.jpg,1.71m,54kg,1.71,54,18.46722068,18.47
Kim Basinger19.jpg,1.71m,54kg,1.71,54,18.46722068,18.47
Kim Basinger2.jpg,1.71m,54kg,1.71,54,18.46722068,18.47
Kim Basinger3.jpg,1.71m,54kg,1.71,54,18.46722068,18.47
Kim Basinger4.jpg,1.71m,54kg,1.71,54,18.46722068,18.47
Kim Basinger5.jpg,1.71m,54kg,1.71,54,18.46722068,18.47
Kim Basinger6.jpg,1.71m,54kg,1.71,54,18.46722068,18.47
Kim Basinger7.jpg,1.71m,54kg,1.71,54,18.46722068,18.47
Kim Basinger8.jpg,1.71m,54kg,1.71,54,18.46722068,18.47
Kim Basinger9.jpg,1.71m,54kg,1.71,54,18.46722068,18.47
Kim Hunter0.jpg,1.57m,48kg,1.57,48,19.47340663,19.47
Kim Hunter1.jpg,1.57m,48kg,1.57,48,19.47340663,19.47
Kim Hunter10.jpg,1.57m,48kg,1.57,48,19.47340663,19.47
Kim Hunter11.jpg,1.57m,48kg,1.57,48,19.47340663,19.47
Kim Hunter12.jpg,1.57m,48kg,1.57,48,19.47340663,19.47
Kim Hunter13.jpg,1.57m,48kg,1.57,48,19.47340663,19.47
Kim Hunter14.jpg,1.57m,48kg,1.57,48,19.47340663,19.47
Kim Hunter15.jpg,1.57m,48kg,1.57,48,19.47340663,19.47
Kim Hunter16.jpg,1.57m,48kg,1.57,48,19.47340663,19.47
Kim Hunter17.jpg,1.57m,48kg,1.57,48,19.47340663,19.47
Kim Hunter18.jpg,1.57m,48kg,1.57,48,19.47340663,19.47
Kim Hunter19.jpg,1.57m,48kg,1.57,48,19.47340663,19.47
Kim Hunter2.jpg,1.57m,48kg,1.57,48,19.47340663,19.47
Kim Hunter3.jpg,1.57m,48kg,1.57,48,19.47340663,19.47
Kim Hunter4.jpg,1.57m,48kg,1.57,48,19.47340663,19.47
Kim Hunter5.jpg,1.57m,48kg,1.57,48,19.47340663,19.47
Kim Hunter6.jpg,1.57m,48kg,1.57,48,19.47340663,19.47
Kim Hunter7.jpg,1.57m,48kg,1.57,48,19.47340663,19.47
Kim Hunter8.jpg,1.57m,48kg,1.57,48,19.47340663,19.47
Kim Hunter9.jpg,1.57m,48kg,1.57,48,19.47340663,19.47
Kim Kardashian West0.jpg,1.59m,56kg,1.59,56,22.15102251,22.15
Kim Kardashian West1.jpg,1.59m,56kg,1.59,56,22.15102251,22.15
Kim Kardashian West10.jpg,1.59m,56kg,1.59,56,22.15102251,22.15
Kim Kardashian West11.jpg,1.59m,56kg,1.59,56,22.15102251,22.15
Kim Kardashian West12.jpg,1.59m,56kg,1.59,56,22.15102251,22.15
Kim Kardashian West13.jpg,1.59m,56kg,1.59,56,22.15102251,22.15
Kim Kardashian West14.jpg,1.59m,56kg,1.59,56,22.15102251,22.15
Kim Kardashian West15.jpg,1.59m,56kg,1.59,56,22.15102251,22.15
Kim Kardashian West16.jpg,1.59m,56kg,1.59,56,22.15102251,22.15
Kim Kardashian West17.jpg,1.59m,56kg,1.59,56,22.15102251,22.15
Kim Kardashian West18.jpg,1.59m,56kg,1.59,56,22.15102251,22.15
Kim Kardashian West19.jpg,1.59m,56kg,1.59,56,22.15102251,22.15
Kim Kardashian West2.jpg,1.59m,56kg,1.59,56,22.15102251,22.15
Kim Kardashian West3.jpg,1.59m,56kg,1.59,56,22.15102251,22.15
Kim Kardashian West4.jpg,1.59m,56kg,1.59,56,22.15102251,22.15
Kim Kardashian West5.jpg,1.59m,56kg,1.59,56,22.15102251,22.15
Kim Kardashian West6.jpg,1.59m,56kg,1.59,56,22.15102251,22.15
Kim Kardashian West7.jpg,1.59m,56kg,1.59,56,22.15102251,22.15
Kim Kardashian West8.jpg,1.59m,56kg,1.59,56,22.15102251,22.15
Kim Kardashian West9.jpg,1.59m,56kg,1.59,56,22.15102251,22.15
Kim Novak0.jpg,1.68m,55kg,1.68,55,19.48696145,19.49
Kim Novak1.jpg,1.68m,55kg,1.68,55,19.48696145,19.49
Kim Novak10.jpg,1.68m,55kg,1.68,55,19.48696145,19.49
Kim Novak11.jpg,1.68m,55kg,1.68,55,19.48696145,19.49
Kim Novak12.jpg,1.68m,55kg,1.68,55,19.48696145,19.49
Kim Novak13.jpg,1.68m,55kg,1.68,55,19.48696145,19.49
Kim Novak14.jpg,1.68m,55kg,1.68,55,19.48696145,19.49
Kim Novak15.jpg,1.68m,55kg,1.68,55,19.48696145,19.49
Kim Novak16.jpg,1.68m,55kg,1.68,55,19.48696145,19.49
Kim Novak17.jpg,1.68m,55kg,1.68,55,19.48696145,19.49
Kim Novak18.jpg,1.68m,55kg,1.68,55,19.48696145,19.49
Kim Novak19.jpg,1.68m,55kg,1.68,55,19.48696145,19.49
Kim Novak2.jpg,1.68m,55kg,1.68,55,19.48696145,19.49
Kim Novak3.jpg,1.68m,55kg,1.68,55,19.48696145,19.49
Kim Novak4.jpg,1.68m,55kg,1.68,55,19.48696145,19.49
Kim Novak5.jpg,1.68m,55kg,1.68,55,19.48696145,19.49
Kim Novak6.jpg,1.68m,55kg,1.68,55,19.48696145,19.49
Kim Novak7.jpg,1.68m,55kg,1.68,55,19.48696145,19.49
Kim Novak8.jpg,1.68m,55kg,1.68,55,19.48696145,19.49
Kim Novak9.jpg,1.68m,55kg,1.68,55,19.48696145,19.49
Kirsten Dunst0.jpg,1.68m,54kg,1.68,54,19.13265306,19.13
Kirsten Dunst1.jpg,1.68m,54kg,1.68,54,19.13265306,19.13
Kirsten Dunst10.jpg,1.68m,54kg,1.68,54,19.13265306,19.13
Kirsten Dunst11.jpg,1.68m,54kg,1.68,54,19.13265306,19.13
Kirsten Dunst12.jpg,1.68m,54kg,1.68,54,19.13265306,19.13
Kirsten Dunst13.jpg,1.68m,54kg,1.68,54,19.13265306,19.13
Kirsten Dunst14.jpg,1.68m,54kg,1.68,54,19.13265306,19.13
Kirsten Dunst15.jpg,1.68m,54kg,1.68,54,19.13265306,19.13
Kirsten Dunst16.jpg,1.68m,54kg,1.68,54,19.13265306,19.13
Kirsten Dunst17.jpg,1.68m,54kg,1.68,54,19.13265306,19.13
Kirsten Dunst18.jpg,1.68m,54kg,1.68,54,19.13265306,19.13
Kirsten Dunst19.jpg,1.68m,54kg,1.68,54,19.13265306,19.13
Kirsten Dunst2.jpg,1.68m,54kg,1.68,54,19.13265306,19.13
Kirsten Dunst3.jpg,1.68m,54kg,1.68,54,19.13265306,19.13
Kirsten Dunst4.jpg,1.68m,54kg,1.68,54,19.13265306,19.13
Kirsten Dunst5.jpg,1.68m,54kg,1.68,54,19.13265306,19.13
Kirsten Dunst6.jpg,1.68m,54kg,1.68,54,19.13265306,19.13
Kirsten Dunst7.jpg,1.68m,54kg,1.68,54,19.13265306,19.13
Kirsten Dunst8.jpg,1.68m,54kg,1.68,54,19.13265306,19.13
Kirsten Dunst9.jpg,1.68m,54kg,1.68,54,19.13265306,19.13
Klaus Kinski0.jpg,1.65m,61kg,1.65,61,22.40587695,22.41
Klaus Kinski1.jpg,1.65m,61kg,1.65,61,22.40587695,22.41
Klaus Kinski10.jpg,1.65m,61kg,1.65,61,22.40587695,22.41
Klaus Kinski11.jpg,1.65m,61kg,1.65,61,22.40587695,22.41
Klaus Kinski12.jpg,1.65m,61kg,1.65,61,22.40587695,22.41
Klaus Kinski13.jpg,1.65m,61kg,1.65,61,22.40587695,22.41
Klaus Kinski14.jpg,1.65m,61kg,1.65,61,22.40587695,22.41
Klaus Kinski15.jpg,1.65m,61kg,1.65,61,22.40587695,22.41
Klaus Kinski16.jpg,1.65m,61kg,1.65,61,22.40587695,22.41
Klaus Kinski17.jpg,1.65m,61kg,1.65,61,22.40587695,22.41
Klaus Kinski18.jpg,1.65m,61kg,1.65,61,22.40587695,22.41
Klaus Kinski19.jpg,1.65m,61kg,1.65,61,22.40587695,22.41
Klaus Kinski2.jpg,1.65m,61kg,1.65,61,22.40587695,22.41
Klaus Kinski3.jpg,1.65m,61kg,1.65,61,22.40587695,22.41
Klaus Kinski4.jpg,1.65m,61kg,1.65,61,22.40587695,22.41
Klaus Kinski5.jpg,1.65m,61kg,1.65,61,22.40587695,22.41
Klaus Kinski6.jpg,1.65m,61kg,1.65,61,22.40587695,22.41
Klaus Kinski7.jpg,1.65m,61kg,1.65,61,22.40587695,22.41
Klaus Kinski8.jpg,1.65m,61kg,1.65,61,22.40587695,22.41
Klaus Kinski9.jpg,1.65m,61kg,1.65,61,22.40587695,22.41
Kourtney Kardashian0.jpg,1.52m,48kg,1.52,48,20.77562327,20.78
Kourtney Kardashian1.jpg,1.52m,48kg,1.52,48,20.77562327,20.78
Kourtney Kardashian10.jpg,1.52m,48kg,1.52,48,20.77562327,20.78
Kourtney Kardashian11.jpg,1.52m,48kg,1.52,48,20.77562327,20.78
Kourtney Kardashian12.jpg,1.52m,48kg,1.52,48,20.77562327,20.78
Kourtney Kardashian13.jpg,1.52m,48kg,1.52,48,20.77562327,20.78
Kourtney Kardashian14.jpg,1.52m,48kg,1.52,48,20.77562327,20.78
Kourtney Kardashian15.jpg,1.52m,48kg,1.52,48,20.77562327,20.78
Kourtney Kardashian16.jpg,1.52m,48kg,1.52,48,20.77562327,20.78
Kourtney Kardashian17.jpg,1.52m,48kg,1.52,48,20.77562327,20.78
Kourtney Kardashian18.jpg,1.52m,48kg,1.52,48,20.77562327,20.78
Kourtney Kardashian19.jpg,1.52m,48kg,1.52,48,20.77562327,20.78
Kourtney Kardashian2.jpg,1.52m,48kg,1.52,48,20.77562327,20.78
Kourtney Kardashian3.jpg,1.52m,48kg,1.52,48,20.77562327,20.78
Kourtney Kardashian4.jpg,1.52m,48kg,1.52,48,20.77562327,20.78
Kourtney Kardashian5.jpg,1.52m,48kg,1.52,48,20.77562327,20.78
Kourtney Kardashian6.jpg,1.52m,48kg,1.52,48,20.77562327,20.78
Kourtney Kardashian7.jpg,1.52m,48kg,1.52,48,20.77562327,20.78
Kourtney Kardashian8.jpg,1.52m,48kg,1.52,48,20.77562327,20.78
Kourtney Kardashian9.jpg,1.52m,48kg,1.52,48,20.77562327,20.78
Kristen Bell0.jpg,1.55m,48kg,1.55,48,19.97918835,19.98
Kristen Bell1.jpg,1.55m,48kg,1.55,48,19.97918835,19.98
Kristen Bell10.jpg,1.55m,48kg,1.55,48,19.97918835,19.98
Kristen Bell11.jpg,1.55m,48kg,1.55,48,19.97918835,19.98
Kristen Bell12.jpg,1.55m,48kg,1.55,48,19.97918835,19.98
Kristen Bell13.jpg,1.55m,48kg,1.55,48,19.97918835,19.98
Kristen Bell14.jpg,1.55m,48kg,1.55,48,19.97918835,19.98
Kristen Bell15.jpg,1.55m,48kg,1.55,48,19.97918835,19.98
Kristen Bell16.jpg,1.55m,48kg,1.55,48,19.97918835,19.98
Kristen Bell17.jpg,1.55m,48kg,1.55,48,19.97918835,19.98
Kristen Bell18.jpg,1.55m,48kg,1.55,48,19.97918835,19.98
Kristen Bell19.jpg,1.55m,48kg,1.55,48,19.97918835,19.98
Kristen Bell2.jpg,1.55m,48kg,1.55,48,19.97918835,19.98
Kristen Bell3.jpg,1.55m,48kg,1.55,48,19.97918835,19.98
Kristen Bell4.jpg,1.55m,48kg,1.55,48,19.97918835,19.98
Kristen Bell5.jpg,1.55m,48kg,1.55,48,19.97918835,19.98
Kristen Bell6.jpg,1.55m,48kg,1.55,48,19.97918835,19.98
Kristen Bell7.jpg,1.55m,48kg,1.55,48,19.97918835,19.98
